# TESS Program G08046

Title: Planets And Stellar Activity Through Time: Understanding The Evolution, Diversity And Habitability Of Planetary Systems

PI: Battley, Matthew - Queen Mary University Of London

Type: SMALL

Summary: Young exoplanets offer unique insights into the formation and evolution processes that form the diverse population of exoplanets known today. We propose to observe 10,140 young stars with 2-min cadence, in order to search for new young exoplanets and characterise the early evolution of stellar flare activity in order to understand its effects on the diversity and habitability of planetary systems. Our sample is drawn from 55 nearby stellar associations, co-moving groups and open clusters with precise ages from 1Myr 3 Gyr, providing a wide overview of exoplanetary evolution over these early epochs. The longer sectors and adjusted pointing of Cycle 8 will allow us to extend the search to longer-period young exoplanets and better characterise the rotational activity of these young stars.


# Sector 097 targets observed (2 min: 858, 20 s: 59)
159877633,48.3713,-36.1507,13.47,G08033;G08046;G08103;G08137
159898381,48.8216,-37.0417,8.21,G08046
159923666,49.0131,-37.4229,9.33,G08033;G08046;G08158;20SECONDTARGET
159923675,49.0024,-37.485,14.7,G08046;G08103;G08137
159950457,49.6087,-37.1367,15.46,G08033;G08046
159966566,49.7571,-36.2876,15.76,G08033;G08046;G08103
159966592,49.7209,-36.1271,7.83,G08046
159984849,50.2494,-37.0259,12.26,G08046
159989026,50.5837,-36.6372,9.41,G08033;G08046;G08158
160004720,50.9522,-36.8775,13.69,G08046;G08103;G08137;G08158
165146394,46.8176,-37.542,13.78,G08046
165162811,47.1652,-38.7434,13.04,G08033;G08046;G08137;G08158
165184539,47.7673,-37.0086,15.73,G08046
175493040,45.487,-36.1239,14.26,G08046;G08137
176776950,47.7424,-31.9575,16.9,G08046
176778240,47.9353,-35.5123,16.74,G08046
176796893,48.3491,-31.3706,12.7,G08046
176797707,48.5821,-35.1349,16.47,G08046
176798599,48.6068,-30.1168,12.79,G08046;G08137;20SECONDTARGET
176799235,48.6916,-33.861,8.28,G08046
176832633,49.1367,-35.6912,6.93,G08046
176843311,49.5336,-30.6752,13.16,G08046
176851245,49.6789,-35.6433,14.79,G08046;G08103;G08137
176852917,49.7869,-35.1169,9.63,G08046;G08158
178153840,42.5182,-30.9476,12.62,G08046
178155030,42.7492,-34.1516,12.17,G08046;G08137;G08158
178170643,43.0667,-31.6076,14.19,G08046
209456925,46.5085,-30.3058,15.15,G08033;G08046
209462764,47.2737,-33.2741,15.53,G08046
209463384,47.4124,-30.2433,13.48,G08046;G08137;G08158
215256883,42.6996,-39.9323,6.33,G08046;G08101;G08158
215335270,42.7947,-36.3649,13.83,G08046
215476767,43.4663,-40.1941,7.91,G08046
308226011,40.3881,-37.3604,16.25,G08046
308243453,51.496,-35.9583,7.03,G08046;G08101
308245513,51.5785,-36.6185,16.04,G08046;G08103
308305341,52.3701,-36.0821,15.91,G08033;G08046;G08103
407585308,49.8839,-35.4466,12.79,G08046
651375053,47.1704,-30.0945,13.45,G08046
65347411,39.7583,-29.7239,13.07,G08046
65449543,42.055,-28.7527,14.53,G08046
88478576,46.9899,-29.2043,11.91,G08046
88478795,46.9624,-27.8313,6.04,G08046;G08101
91542943,43.8254,-33.7458,13.31,G08046;G08158;G08137
91591103,44.2338,-35.1247,15.03,G08046
91597063,38.6844,-36.292,13.23,G08046;G08158
120932152,37.5579,-25.1862,6.28,G08046
120932155,37.4858,-25.1961,15.77,G08046
139526229,36.5191,-29.3969,11.98,G08046;G08137
204613238,41.6191,-18.8954,8.19,G08046
204613241,41.6441,-18.9048,9.38,G08046;G08137
204613780,41.6885,-21.6394,6.12,G08046;20SECONDTARGET
204616593,42.0132,-23.4714,12.51,G08046
268862454,34.3083,-23.189,15.06,G08046
268862474,34.2858,-23.31,13.11,G08046;G08158
325640392,36.7466,-17.51,16.6,G08046
325640505,36.8242,-16.9998,14.53,G08046
326242263,41.3266,-20.4016,7.11,G08046
441133146,40.2234,-17.4055,14.48,G08046;G08137
64008790,37.3686,-20.2047,11.03,G08046;G08158;G08137
64010008,37.3972,-19.6961,13.95,G08046
64069722,38.9145,-19.7723,9.3,G08046
64109026,39.9756,-23.9299,7.6,G08046
65289930,38.1253,-27.0031,7.21,G08101;G08046
65346691,39.6523,-25.2521,9.03,G08046
65447137,41.7706,-26.1762,15.21,G08046
65480303,42.5923,-27.0546,13.49,G08046;G08137
65516102,43.2057,-25.6374,12.39,G08046;G08009
72653210,32.9853,-26.6572,14.65,G08046
72729895,34.311,-27.2783,11.78,G08046;G08137
72764846,35.2102,-27.45,14.54,G08046
88406214,45.4093,-25.4272,8.18,G08046
94942983,39.3692,-16.8903,12.39,G08046
11614280,20.7154,-25.939,14.23,G08046;G08137
11614485,20.7132,-24.665,11.62,G08046;G08158;G08137
123291548,29.4812,-30.4732,14.03,G08046
140460192,20.5194,-33.6181,9.48,G08046;G08158;G08137
164719501,25.5772,-22.0569,16.06,G08046
164792335,27.9506,-23.0922,15.47,G08046
33492406,26.2571,-26.0373,13.01,G08046;G08158
33494267,26.5052,-27.3492,6.01,G08046;20SECONDTARGET
33495101,26.5914,-25.5761,15.3,G08046
33523628,26.7144,-28.0889,15.14,G08046
33591034,28.2163,-26.4,14.3,G08046
33593656,28.5742,-29.3902,9.52,G08033;G08046;G08137;20SECONDTARGET
33594074,28.6341,-26.9714,13.43,G08046
33625968,29.3218,-25.2304,11.88,G08046;G08158;G08137
70525154,33.2271,-30.7238,5.3,G08046;G08101;20SECONDTARGET
72587044,31.223,-29.3818,14.83,G08046
97475019,24.6243,-24.726,12.1,G08046
97484036,24.792,-29.1008,12.95,G08046
100919961,54.1563,-42.5319,11.83,G08033;G08046;G08137;20SECONDTARGET
100976023,54.6593,-45.6359,14.17,G08046
101017638,56.2251,-45.2553,14.53,G08046;G08137
101100533,57.4878,-43.9679,15.7,G08046;G08103
101100543,57.5148,-43.9175,15.89,G08046
101100599,57.6229,-43.6182,9.85,G08046;G08119;G08158
101103091,57.8801,-43.3887,12.07,G08046
101103417,58.0004,-42.1056,14.63,G08046;G08137
101103443,58.066,-42.2549,15.37,G08046;G08103
101103444,58.0647,-42.2551,13.74,G08046
101140660,58.4416,-42.8384,12.04,G08046;G08137
129783741,53.8278,-36.8717,13.67,G08046;G08103;G08137
129783770,53.8973,-37.0483,13.58,G08046;G08103;G08137
129813168,54.5886,-41.05,15.81,G08046
129813177,54.7031,-41.0171,13.19,G08033;G08046;G08137
129814912,54.7526,-39.4822,14.12,G08033;G08046;G08137
129836189,54.9391,-39.9035,15.35,G08046
129838123,55.0714,-41.8167,13.75,G08046;G08137
129839547,55.4065,-36.7859,16.39,G08046
129863016,55.6796,-38.5932,17.06,G08046;G08103
140072758,57.2145,-40.6432,9.21,G08033;G08046;20SECONDTARGET
