# TESS Program G09062

Title: A Survey Of Oscillations And Granulation In Subgiant Stars

PI: Chontos, Ashley - Dartmouth College

Type: SMALL

Summary: Brightness variations observed in high-precision light curves encode powerful information about fundamental properties and convection in subgiant stars through oscillations and granulation. However, the current sample of subgiants with measured oscillations and granulation is predominantly focused on the Kepler field, and prime mission TESS data do not provide sufficient time coverage to make precise measurements. Here we propose 2-minute cadence observations to perform a survey of oscillations and granulation in subgiant stars, which will enable us to (i) probe the efficiency of convective driving and damping of oscillations, (ii) test stellar models by constraining convective properties such as the mixing length parameter and (iii) calibrate granulation metrics for TESS stars.


# Sector 108 targets observed (2 min: 655, 20 s: 186)
166742866,56.4402,-32.4813,8.06,G09062
166762338,56.8347,-29.9022,6.06,G09062;20SECONDTARGET
166774841,57.2654,-33.0847,8.22,G09062;20SECONDTARGET
166791431,57.8253,-33.7499,7.65,G09062
166805007,58.0873,-34.3569,8.12,G09062
166870842,59.1608,-33.2196,7.86,G09062
166873855,59.4677,-35.5929,10.27,G09062
166968974,60.5083,-30.4683,8.01,G09062
168632811,60.5179,-34.4823,6.67,G09062
168657397,60.9405,-31.0547,8.57,G09062
168657537,61.0088,-31.7795,8.33,G09062
168657862,61.0483,-33.4229,9.24,G09062;20SECONDTARGET
168675839,61.2325,-35.4467,7.77,G09062;20SECONDTARGET
168696165,61.4031,-31.0511,6.45,G09062
168698627,61.6863,-30.9203,8.03,G09062
168752196,62.7679,-34.113,8.06,G09062
168784826,62.9649,-33.6969,10.1,G09062
168786254,63.1002,-31.5819,6.79,G09062
369376538,59.9361,-35.8955,9.21,G09062
44679890,60.2697,-28.2706,8.37,G09062
44681349,60.3381,-26.5168,6.99,G09062;20SECONDTARGET
44735561,60.6789,-27.483,6.89,G09062;20SECONDTARGET
44735785,60.5905,-28.5312,7.11,G09062;20SECONDTARGET
44791283,61.8275,-28.69,8.6,G09062
44796602,62.3483,-27.8098,8.26,G09062
44799692,62.6844,-25.0965,6.79,G09062
44890689,63.2599,-26.4342,8.0,G09062;20SECONDTARGET
44891114,63.2529,-28.5403,7.61,G09062;20SECONDTARGET
89094846,54.6735,-24.0482,9.22,G09062
89096297,54.9725,-28.5123,6.44,G09062
89111480,54.986,-26.2221,8.74,G09062
89115385,55.498,-24.6525,6.31,G09062;20SECONDTARGET
89185670,57.4786,-25.5025,7.68,G09062
89256140,58.6295,-24.8911,7.63,G09062;20SECONDTARGET
89257097,58.82,-27.73,8.75,G09062
89320803,59.1203,-25.1834,6.17,G09062
117627542,67.6334,-15.0889,9.27,G09062
121027055,56.0259,-22.0319,8.61,G09062
121048719,56.238,-21.5828,8.0,G09062
121049256,56.2582,-19.135,8.17,G09062
121158680,58.3179,-19.2893,8.89,G09062
139527641,63.5446,-18.2092,9.23,G09062
139548291,63.9309,-22.7551,9.8,G09062
139636194,65.3155,-20.192,7.67,G09062
139637712,65.4485,-21.7709,7.02,G09062;20SECONDTARGET
139648221,65.5564,-19.4211,8.0,G09062
139668651,65.9005,-20.2742,7.6,G09062
139705151,66.7225,-18.656,6.5,G09062
139723870,66.755,-19.57,9.35,G09062
149846221,62.5061,-18.7112,7.75,G09062
149859684,62.7722,-18.4268,7.84,G09062;20SECONDTARGET
152371007,65.3841,-24.2914,8.34,G09062
178215855,58.9125,-21.5958,8.11,G09062
178274673,60.0012,-19.2469,6.66,G09062
178284266,60.4589,-18.3673,7.23,G09062
178284735,60.4672,-20.475,7.33,G09062
178286929,60.6279,-19.4985,7.42,G09062
178351535,61.6904,-21.6727,7.38,G09062
206734823,55.5175,-17.1461,7.34,G09062
279373233,57.6462,-11.9954,7.23,G09062
279402565,57.7654,-14.7078,8.04,G09062
279434608,58.2238,-14.1112,8.71,G09062
325686660,59.6044,-15.8373,8.76,G09062
332706753,63.7456,-14.4051,8.47,G09062
44897947,63.9944,-24.0078,8.24,G09194;G09062
461714934,59.8408,-15.1394,7.94,G09062
461720392,60.3036,-15.8635,8.04,G09062
71047654,66.4536,-14.9333,9.79,G09062
71131756,67.2453,-13.6616,8.12,G09062
97524002,60.4232,-14.8916,9.35,G09062
120956785,54.0542,-18.5508,7.26,G09062
12571097,52.3249,-10.5547,7.11,G09062;20SECONDTARGET
12605683,52.7968,-11.3873,8.15,G09062
141307592,45.2261,-10.0358,7.17,G09062
141333291,45.8831,-10.9759,6.65,G09062;20SECONDTARGET
206694588,54.162,-13.3187,9.08,G09062
206714579,54.7316,-14.4888,9.86,G09062
206720132,55.2939,-13.3286,9.19,G09062
29942265,41.867,-17.3692,9.17,G09062
38464735,55.1405,-11.2771,7.79,G09062
406453945,47.0702,-12.5927,8.79,G09062
406477000,50.6699,-13.7789,8.53,G09062
406477030,50.6836,-13.8943,9.71,G09062
423442495,51.1048,-15.6546,6.95,G09062;20SECONDTARGET
423448777,51.3115,-15.0413,7.35,G09062;20SECONDTARGET
423448938,51.253,-14.1159,7.4,G09062
425139495,44.2088,-10.4133,9.35,G09062
425178569,44.884,-8.6215,9.13,G09062
