# TESS Program G08036

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to continue this ongoing program and observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, with a small number of systems at 20 second cadence. This on-going program is providing a long-lasting legacy dataset for the community by unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 097 targets observed (2 min: 144, 20 s: 7)
673086493,73.3391,7.5496,19.6,G08036
673213610,70.2034,7.7552,18.76,G08036
673278805,72.6689,10.0388,19.95,G08036
673320876,71.4236,11.1584,19.2,G08036
673327428,72.3257,11.9943,18.92,G08036
673467235,67.5831,9.8882,19.01,G08088;G08036
673567211,69.1909,14.8415,18.2,G08036
673571426,70.278,14.91,19.52,G08036
139704517,66.6762,-20.9665,18.84,G08036
170699102,67.9149,-30.2539,17.04,G08088;G08036;G08079
178831764,66.6403,-25.0411,14.36,G08088;G08036
398799225,78.3349,-22.4974,16.77,G08036
671060359,79.0822,-28.0512,18.29,G08036
671211982,73.6228,-21.0648,20.12,G08036
671221816,76.9969,-20.7867,19.03,G08036
31051091,80.3405,-28.0929,15.88,G08036
31118078,81.2419,-28.5037,18.57,G08036
705989370,91.4769,-29.1028,19.49,G08036
706295854,87.0444,-29.1694,18.64,G08036
706305142,86.1959,-28.3377,18.56,G08036
706347324,82.5512,-28.8395,18.82,G08036
706365693,83.2336,-28.6248,18.18,G08036
706368232,84.9757,-27.9292,17.9,G08036
706376253,87.0218,-27.3631,19.73,G08036
706457525,90.1387,-27.1553,19.32,G08036
706688289,85.37,-25.4542,17.42,G08036
706741294,89.7485,-23.4257,17.82,G08036
706803378,87.384,-21.9248,20.15,G08036
706825372,90.3669,-20.5491,20.29,G08036
707665607,91.736,-20.1609,19.28,G08036
708560763,81.3581,-21.4872,18.99,G08036;G08079
93444702,87.2253,-22.4239,16.42,G08036;G08108
189012795,79.0861,-16.5599,15.23,G08036;20SECONDTARGET
24346296,79.1642,-10.5373,16.56,G08036;20SECONDTARGET
24606416,80.711,-8.9425,18.26,G08036
708555420,86.804,-17.7098,18.18,G08036
708653515,85.7553,-16.67,18.62,G08036
708714372,80.8735,-16.1724,20.59,G08036
708849003,89.1234,-17.3865,19.76,G08036
709189021,89.9189,-12.5885,19.2,G08036
710211150,81.3414,-10.8376,19.5,G08036
710246243,80.1564,-8.9682,19.53,G08036
