# TESS Program G07025

Title: The TESS Legacy Survey Of Accreting Compact Binaries

PI: Scaringi, Simone - Durham University

Type: MINI

Summary: Accretion is responsible for the growth and evolution of most objects in the Universe, yet many unanswered questions remain in accretion disk physics. We propose to observe a sample accreting compact objects (comprising a mix of accreting white dwarfs, neutron stars, and stellar-mass black holes) at 2-minute cadence with TESS, and 50 at 20 second cadence. These observations will provide a long-lasting legacy dataset unravelling the optical variability properties of a variety of accreting compact objects.


# Sector 084 targets observed (2 min: 160, 20 s: 4)
1551771665,279.1772,78.2,19.06,G07025
1718257254,280.7451,73.7076,17.6,G07025
219107776,271.06,67.9035,13.93,G07025;G07036;G07071
229791903,284.3349,71.5219,15.64,G07025;G07036
287085812,253.179,70.5041,16.55,G07025;G07036
1201247611,242.8915,63.1421,18.03,G07025;G07036;G07092
198178353,244.2539,62.0068,17.27,G07025;G07036
219756421,261.795,61.7578,14.13,G07025;G07036;G07167
219762611,262.5348,62.7985,16.14,G07025;G07036
219848814,255.9285,66.128,17.03,G07025;G07145
232607126,258.1987,60.7675,18.06,G07025
287152647,253.9124,60.1999,16.09,G07025;G07036
1400639572,265.9527,52.0628,18.93,G07025;G07092
1400739415,266.947,55.4883,18.95,G07025
188819697,262.4959,52.4966,17.94,G07025
233124538,273.6243,61.3928,15.14,G07025;G07036
356224953,267.068,50.2897,16.39,G07025

# Sector 086 targets observed (2 min: 91, 20 s: 1)
286111484,71.6404,48.9654,16.38,G07025
310346746,82.9052,48.4085,17.75,G07025
354274006,70.4861,50.7099,12.12,G07025
367626478,73.5651,47.0906,17.72,G07025
391751628,71.7188,47.2356,16.72,G07025
65820714,74.2847,45.4639,16.52,G07025
267052599,62.1458,51.2467,15.69,G07025
267131074,62.301,48.3685,17.41,G07025
431762266,52.8,43.9042,11.87,G07025
642095655,56.8272,40.0226,17.75,G07025
642818383,53.2974,44.4353,18.0,G07025
642867565,50.0637,44.1831,18.51,G07025
643344999,55.1887,47.2754,18.24,G07025
665284806,60.6628,42.846,16.77,G07025
665462925,60.72,43.929,17.56,G07025
26623330,57.6452,35.5464,17.19,G07025
286416493,65.5742,33.7042,17.46,G07025
286689153,66.539,35.6956,15.82,G07025
641762073,55.6924,33.712,18.81,G07025
641851522,57.514,37.0145,18.59,G07025
661568457,67.1546,31.966,17.82,G07025
94605470,59.5278,34.0621,17.18,G07025
155861162,69.329,36.8819,17.64,G07025
3034524,82.142,33.306,16.51,G07025
3457576,82.7076,35.9124,16.3,G07025
67296459,83.3894,36.9923,13.79,G07025
97032980,74.6653,35.0953,16.07,G07025
103439731,65.8873,74.8806,17.2,G07025
138042556,89.3499,72.6979,15.96,G07025
140934621,78.4024,77.4785,15.0,G07025
289450662,49.5672,76.1382,14.23,G07025
468405385,75.8868,69.1639,16.61,G07025;G07145
649349330,56.9889,74.7059,18.56,G07025
286329560,44.6164,63.8763,12.99,G07025
353690983,36.5972,71.3087,14.19,G07025
50772124,41.5668,62.2842,15.57,G07025
