TIC ID,RA,Dec
13097379,348.9363652,-29.84755142
13099148,349.1267314,-27.08064179
13137474,349.2864806,-28.43826553
13140280,349.7637156,-28.38784187
13173449,247.3445822,-51.56843435
13222474,77.68579492,-25.9104581
13272359,78.21587678,-27.17758806
13325618,78.62736321,-26.20868595
13345794,78.85155306,-26.94350871
13349647,131.5804074,-8.026947968
13390261,131.5911307,-6.410938996
13429083,132.020319,-6.558838166
13566784,132.8933732,-7.177220569
13737885,133.7557711,-9.165170062
13741670,133.8733687,-7.971149882
13741671,133.8734363,-7.970019317
13883466,73.7283885,-39.62860674
13883872,73.74087936,-41.34418384
13955979,75.39384386,-39.71804558
13984854,75.97480247,-41.74495131
14029793,76.44650065,-38.8646718
14091633,77.26019444,-36.46455952
14091704,77.32346007,-36.59096644
14126552,77.51007214,-40.55946642
14162789,77.8993186,-37.39528939
14165625,78.03709953,-37.70868115
14223334,78.62019175,-35.97699801
14223598,78.78649515,-36.65288975
14295825,144.4413978,-3.170638413
14614418,173.9574046,-29.15604277
14661418,174.009746,-29.54332154
14663544,174.1902534,-24.43916881
14698209,244.0375672,-43.1255332
14715294,174.7522879,-29.84207223
14717198,174.7518427,-24.7210934
15161212,244.5727574,-46.44979935
15445551,185.3246918,-52.84083319
15525527,185.4442603,-49.9489647
15633716,185.5938255,-52.99177745
16245795,263.9149667,-46.50568688
16264917,247.6430934,-49.41416654
17158018,264.32974,-42.997841
17639611,264.5351713,-42.88027852
17683158,135.7221163,-33.29496552
17889301,136.1229879,-32.44840826
17896514,136.2196993,-31.93007806
18556657,137.4850397,-30.3654008
18794442,138.0552451,-33.83199161
18795429,138.0983382,-33.25679331
19086884,138.5893907,-32.55694137
19143133,138.6886043,-30.16012801
19148344,138.6985351,-33.68236261
19197282,138.8940741,-33.32396262
19342878,124.0736878,-8.686679888
19447218,124.4472564,-9.057009269
19451711,124.6028267,-7.571279548
19493810,139.5608251,-33.02752315
19519368,124.6958825,-6.785848637
19521505,124.8098886,-7.558160671
19545682,139.681802,-34.09591606
19547831,139.6616886,-32.74873855
19566581,124.8128459,-10.16575052
19568026,124.8037023,-11.52194969
19612445,139.8702226,-32.29752977
19676627,139.9497232,-34.10332205
19677378,139.9535488,-33.64427837
19684256,140.0876902,-31.26930311
19684898,140.1846173,-31.76022125
