,TIC ID,RA,Dec,in_cycle8
14942,301467670,166.079417505815,5.22493959807421,False
14943,301482732,53.9885479534113,-5.12494527875645,False
14944,301502440,301.730191060742,-27.2249317539883,False
14945,301538580,166.509332893069,1.21066572255816,False
14946,301539114,166.725863496925,1.95552595002615,False
14947,301558151,54.7546520213326,-5.62621285766674,False
14948,301562733,54.9982056410846,-1.12122415871829,False
14949,301563296,54.9097802276271,-3.39300472830059,False
14950,301575021,39.5528200578848,50.4913060895953,False
14951,301580669,301.849226773471,-29.720817056552,False
14952,301597858,101.798014037769,1.529356292481,False
14953,301621458,55.1597209917116,-5.21071353357801,False
14954,301624399,324.624126311344,13.6841533167543,False
14955,301624989,169.214944993241,3.36385784844569,False
14956,301625810,169.32248765882,2.01055647970316,False
14957,301627020,173.401441662912,2.49903330900526,False
14958,301690351,258.324488039005,-67.1965898924562,True
14959,301707812,302.473274591361,-25.596671919061,False
14960,301765221,325.423793866744,15.0421903667341,False
14961,301781283,104.19856214028,0.802478402162632,False
14962,301798379,40.5914020091876,20.0114636039152,False
14963,301842094,259.356269810388,-66.9510368946721,True
14964,301867133,130.976370707157,-68.2115829224001,False
14965,301878641,326.127896110978,17.350014369761,False
14966,301880196,326.13054155637,14.7719395342441,False
14967,301892354,328.909857238132,-21.139970914536,False
14968,301900477,259.699304889635,-66.3483198023898,True
14969,301956407,260.052829184397,-70.0453607123058,True
14970,301986302,356.545928008318,17.020806604547,False
14971,301991463,40.5392419294596,53.5558662908126,False
14972,301992926,40.7480131263129,53.5261062792209,False
14973,302003748,131.475759453946,-67.4116975136295,False
14974,302011862,27.7887155439369,38.0239482582944,False
14975,302018968,356.718088143346,17.5291043358021,False
14976,302029006,329.682472390579,-21.1829349370807,False
14977,302054555,260.016989848416,-67.4445946832324,True
14978,302061421,260.497827606441,-67.7706702168965,True
14979,302066927,306.979945902959,-28.2610552192855,False
14980,302071160,40.7577395344085,48.2652419117397,False
14981,302107568,260.524481480502,-70.1232086066646,True
14982,302121302,307.184165711569,-23.9838317688197,False
14983,302134539,132.645067331194,-66.7929823612423,False
14984,302144515,41.0214966038543,44.297041338176,False
14985,302158903,41.0499506176689,49.2284506710292,False
14986,302170027,261.579184703944,7.59561560208445,False
14987,302173245,8.73534616236644,17.0564920751126,False
14988,302174040,8.7306809766518,13.3711394680642,False
14989,302188141,125.016086235041,27.2177073328427,False
14990,302190720,8.97834005254367,13.2070694013444,False
14991,302201081,9.19915127186133,16.0971069412659,False
14992,302201252,9.19712342718211,15.2317159586891,False
14993,302202317,9.33985980852585,13.8591411839479,False
14994,302205701,125.133901288038,24.0223123340181,False
14995,302212110,132.767953232146,-69.344216551558,True
14996,302267223,81.5238398540042,16.7001624076079,True
14997,302301248,320.454580201227,-29.1660725797838,False
14998,302305400,126.357849680327,25.2076338775006,False
14999,302333151,320.524117461434,-27.5543739557916,False
15000,302342192,81.7920596768397,17.9622075379033,False
15001,302345588,81.8078919663439,15.2576292147328,True
15002,302349701,168.185203440865,54.8942883829989,False
15003,302352638,261.933652935183,8.4420357555732,False
15004,302381397,100.081261485851,76.5531332170352,False
15005,302381442,100.172653604642,76.7323202979599,False
15006,302381745,100.120312844083,77.9957843324285,False
15007,302382936,32.8895976968796,-17.7429914595692,True
15008,302418572,81.9400348607919,15.8740531497952,True
15009,302419660,81.933119480049,16.7643356097536,True
15010,302422226,82.0067082524459,17.2391313778128,True
15011,302453291,322.622067513068,-26.7738959907824,False
15012,302455483,322.608423709975,-25.1932779998976,False
15013,302470965,41.9461341905417,49.4104651994244,False
15014,302475669,41.9541071345665,52.3215016803695,False
15015,302479690,269.000449095191,9.75496550142428,False
15016,302481028,269.081210099831,10.6189760184098,False
15017,302482474,269.062760229468,11.5792190672594,False
15018,302493325,82.1448901307547,13.6789797765493,True
15019,302500247,47.5327871128568,13.4536857109328,False
15020,302518439,134.120120679858,72.5332428370012,False
15021,302527524,134.193657316024,-68.5106782963726,False
15022,302561285,269.168611750623,6.84039725131032,False
15023,302564371,269.233233907577,6.48772875646602,False
15024,302581695,133.482011577945,35.5382950638555,False
15025,302584212,133.561382036252,30.5791234925758,False
15026,302591641,134.285662613519,-71.0168986260652,False
15027,302613885,82.4911176737738,16.1511188343426,True
15028,302632661,136.907346497251,31.2005556779605,False
15029,302638007,269.362434647375,11.0445421576044,False
15030,302653241,152.065783731155,31.6036922474508,False
15031,302659412,134.966613187832,-67.9555318249372,False
15032,302667075,162.848843088627,59.3201213797946,False
15033,302668272,163.393553131464,54.5851329805989,False
15034,302675838,82.6090158959472,15.3604480865753,True
15035,302696882,164.111625768936,57.502958724174,False
15036,302720622,135.285474524336,-68.6839183992659,False
15037,302728986,258.056748827693,-25.2551451435529,False
15038,302743951,258.045563955334,-27.0423597653198,False
15039,302757439,170.455370998937,57.0748568078826,False
15040,302759417,82.8235427199701,14.3143683331383,True
15041,302766000,82.8784812637608,15.7713610318702,True
15042,302769337,50.9124559858674,4.88211046687753,False
15043,302769958,50.9012722227619,0.910083181834414,False
15044,302771290,42.2312902234197,69.6342893181617,False
15045,302773669,42.4353612260134,71.7532311661151,False
15046,302783620,263.062001149806,11.9300511146689,False
15047,302790649,135.611633439273,-66.3960812606846,False
15048,302798365,135.597153210769,-70.947669649882,False
15049,302814895,293.330882820106,29.2999123805327,False
15050,302819279,109.82560752407,34.5471686108495,False
15051,302824830,83.0589278301631,17.0581292270554,True
15052,302824837,83.0606926513993,17.0560542353501,True
15053,302843468,110.063310189659,31.3672197586916,False
15054,302848571,110.19037296662,31.459123324633,False
15055,302862682,94.6681447073172,9.0471553661802,False
15056,302873827,258.104426469569,-27.7621253904897,False
15057,302895184,83.1719339580325,14.9570911678541,True
15058,302895996,83.1166264831441,15.5561074593753,True
15059,302908969,110.460575504674,35.2221346227479,False
15060,302924206,34.9543861950251,-62.5037860245442,False
15061,302962039,136.409886126845,-70.5384953417944,False
15062,302969376,83.2269787261506,13.0519064856423,True
15063,302976834,83.4504560164723,16.8108410542902,True
15064,303009878,262.093009840104,-53.4999421629996,True
15065,303015196,261.990017203479,-52.2971470208526,True
15066,303030789,155.164292672422,-69.4883758083558,False
15067,303055194,330.671125336772,11.9911068482228,False
15068,303084582,320.270105687692,7.35450495750177,False
15069,303153429,331.264423324999,14.8159348475126,False
15070,303192885,4.67068576002305,12.6948887974379,False
15071,303204165,5.24596982120629,12.3238681095194,False
15072,303225294,164.067692306984,-58.0531080116142,True
15073,303247278,299.974108976156,52.1498346295238,False
15074,303247444,299.813946406675,52.0556920116114,False
15075,303256075,37.9671985210327,89.2640510887674,False
15076,303297349,159.324558146389,-48.2256692927941,True
15077,303301814,159.678765295195,-49.7421473477892,True
15078,303317324,351.903691918406,-25.5080853104303,True
15079,303319608,12.2446145880703,16.9406443355136,False
15080,303320111,12.2694152546062,14.8092035888272,False
15081,303327435,164.01621904689,-54.280511875364,True
15082,303364023,138.384858998098,-69.3052784385057,False
15083,303385111,256.799924266591,-64.5469980620287,True
15084,303426966,164.141811528214,-57.7044429154068,True
15085,303432813,50.5096556480399,17.2399670241529,False
15086,303456821,308.581134229591,53.0088748008626,False
15087,303502282,51.0422021011111,12.629591793205,False
15088,303502327,51.0291326514266,12.4360504951225,False
15089,303519120,164.450777866721,-59.7321897785668,True
15090,303523128,51.3653223337117,13.507387398241,False
15091,303538037,271.951523938645,-64.5501691454982,True
15092,303570082,308.568859909763,49.7731577896412,False
15093,303586471,351.987735311725,-26.4544312816889,True
15094,303593424,75.3366963498785,15.7443713050515,False
15095,303606981,139.321937824853,-68.6896331677563,False
15096,303608809,139.306972698002,-67.6764606984068,False
15097,303609983,139.465217182039,-67.0508639635315,False
15098,303617735,272.205468727628,-59.8916789855093,True
15099,303658933,257.526147918766,-61.6754574376875,True
15100,303686889,139.599866103369,-66.6461293475475,False
15101,303696290,272.145060139972,-63.6685586797613,True
15102,303704858,272.608963239025,-62.0022386940204,True
15103,303746187,308.71001479714,51.8542212391934,False
15104,303767154,76.1422986571409,15.4041006711741,True
15105,303777184,139.871616884779,-67.431252344476,False
15106,303810866,164.520154332416,-55.7837322774589,True
15107,303814029,164.519947567908,-56.3860101354094,True
15108,303843296,277.843434811567,-62.2783095132066,True
15109,303867090,140.219732413346,-69.7916772606943,False
15110,303883880,177.688792595999,-62.7526522299736,True
15111,303884894,177.613653462839,-62.6493813403449,True
15112,303974454,24.1409457270588,-76.3719699451767,False
15113,304021498,140.884153582237,-67.0260188045904,False
15114,304025075,140.738402397444,-68.8315745688296,False
15115,304042899,164.800183853393,-59.2340546066655,True
15116,304080910,141.154515831837,-70.0757814499008,False
15117,304085024,141.051367600185,-67.6837478967316,False
15118,304100538,27.6997875958083,-75.8487575073221,False
15119,304114338,315.295532427278,46.1557756057674,False
15120,304130406,291.866894050982,-62.0948286549799,True
15121,304142124,164.859599011725,-56.623040907531,True
15122,304164760,177.928899063845,-61.1584403569392,True
15123,304178155,141.776308700267,-71.6018938081285,False
15124,304219387,142.127246360947,-66.7018579745327,False
15125,304302401,141.954346539159,-71.7811005870713,False
15126,304339227,275.943852682872,-68.3448860595232,True
15127,304355898,165.066713696429,-57.5604481313038,True
15128,304363215,164.927732789055,-58.6590318498053,True
15129,304379819,315.702580569144,45.8488885453196,False
15130,304387398,315.6008317907,44.7909799596846,False
15131,304410431,276.422941641615,-70.8153934995414,True
15132,304425262,177.96336931913,-65.2059361846241,True
15133,304426002,177.796213162803,-65.3168322888359,True
15134,304430662,259.595663389254,-62.9316834156455,True
15135,304430794,259.715446262069,-62.874577186163,True
15136,304498801,304.082451046463,21.5987015415166,False
15137,304501202,304.086297228104,22.2872489381916,False
15138,304514922,315.638021663616,41.9231777720282,False
15139,304663241,260.306136494772,-63.5822092589207,True
15140,304690618,278.028559697508,-67.664337522089,True
15141,304695574,278.475053184342,-70.9461643787343,True
15142,304697653,352.98329444934,-25.7441409424326,True
15143,304774444,281.369451666297,-52.2628204139392,True
15144,304792964,279.676469781144,-70.2354472285081,True
15145,304904153,261.004480419126,-62.8641537763813,True
15146,304950588,178.357142478652,-61.0977343605282,True
15147,304969065,324.237377104523,40.4134949566422,False
15148,304989038,289.560882176843,-50.4467703903232,True
15149,305004624,261.078324641328,-60.6737940856903,True
15150,305040887,322.103493275553,8.1956457005278,False
15151,305048087,353.242791548842,-29.4150524465489,True
15152,305048116,353.238177973563,-28.3197783540777,True
15153,305065042,289.540753874447,-53.3870877856582,True
15154,305096099,322.393731053016,6.58137746580307,False
15155,305127595,165.545378340209,-55.9128186864923,True
15156,305176519,261.650137752138,-62.9230494028296,True
15157,305229811,325.392730624886,40.8052183853636,False
15158,305241796,306.148791663977,16.143690822162,False
15159,305243225,306.123847930353,16.7621695341653,False
15160,305255878,312.322461849925,64.0422569573441,False
15161,305272585,261.932050955943,-63.2636727400582,True
15162,305308009,325.595668243012,41.0770124081134,False
15163,305321139,262.01993008054,-64.951081363104,True
15164,305325015,262.032770499779,-63.0362408667469,True
15165,305353507,324.429716353948,6.62902048691614,False
15166,305353514,324.431856750691,6.61839038384473,False
15167,305375697,324.599344912286,11.0069375392246,False
15168,305390313,327.122309269791,38.6485861196866,False
15169,305407530,306.506657469936,13.9116104752876,False
15170,305424003,262.183420246549,-62.8402200695623,True
15171,305435343,12.7391466691282,51.5080341753329,False
15172,305446550,325.139467412234,10.6122268070591,False
15173,305473286,327.034976212327,36.5803886124672,False
15174,305478010,330.270570548146,38.5299173511863,False
15175,305492348,178.575506924797,-62.3751600043403,True
15176,305506996,325.299550401703,9.59916353987871,False
15177,305512837,262.640801741263,-64.723025259833,True
15178,305526917,306.596478747271,17.3155583165015,False
15179,305537854,139.282174406406,-14.57406773537,True
15180,305550963,315.264125886126,63.4243264101462,False
15181,305559889,330.566653951549,36.9828115031458,False
15182,305559941,330.481899740392,36.9457148747975,False
15183,305589829,262.774660644868,-60.683860181468,True
15184,305612552,306.839982604835,14.6189520183148,False
15185,305647589,205.259777558631,22.4957706784943,False
15186,305687191,175.845734832936,-19.8232942298218,True
15187,305693987,166.012103994423,-54.19776269522,True
15188,305739565,206.026631001026,-32.5229815957226,True
15189,305751503,178.755128010242,-62.5776563004367,True
15190,305767364,263.167522373169,-64.3530558687171,True
15191,305790119,307.122224561482,14.563899442075,False
15192,305805765,207.965242591146,-3.67612101507711,False
15193,305831774,12.8907914822491,51.5714246893132,False
15194,305849019,263.493937340296,-61.5318689831644,True
15195,305850608,317.950998858972,59.9866077236578,False
15196,305851118,318.196862117296,60.0979997503779,False
15197,305869804,324.886244757618,45.1832818018842,False
15198,305892425,178.750048885299,-63.2791804110958,True
15199,305943739,295.468267930186,23.3779903629503,False
15200,305948428,295.483826006931,23.1274441067631,False
15201,305975853,86.9047073076339,54.4946605993813,False
15202,305978354,346.865515109905,32.8253429274705,False
15203,305978357,346.867107658021,32.823448005133,False
15204,305979642,346.949317879723,30.4395986589103,False
15205,306033868,321.443245398191,15.6177166420013,False
15206,306074697,347.536965363762,33.7678122898423,False
15207,306109873,87.6411372389761,56.9189395003196,False
15208,306161631,88.0718910146414,58.964089799366,False
15209,306179633,29.8986830815974,21.0585686575929,False
15210,306187364,13.3889062456847,48.518856865741,False
15211,306187659,13.225341026316,49.7036819620931,False
15212,306204904,30.182903821859,20.0235331919019,False
15213,306213292,88.3583641210862,57.9635227889445,False
15214,306245436,95.5149787446141,59.371946460371,False
15215,306248357,166.557971855128,-54.5732544929391,True
15216,306249066,166.728527593263,-54.7388315979492,True
15217,306255021,166.624327575786,-56.0558378438738,True
15218,306263608,30.9042722461231,21.2808637598307,False
15219,306264447,30.927544897788,18.2532572269898,False
15220,306310948,285.289596294799,-4.43896883112169,False
15221,306337838,18.4966226408324,-6.82685313275901,True
15222,306338882,14.0949068765689,-14.7883182178866,True
15223,306342251,31.6413540516544,22.6483187759601,False
15224,306349516,31.793405,23.462332,False
15225,306357884,265.087581708805,-63.2518358873365,True
15226,306362738,91.0894727555202,-16.9653080103155,True
15227,306363166,91.0945012433455,-16.3403296354389,True
15228,306384457,166.622029921167,-58.6750230641324,True
15229,306393762,94.0908835462062,11.461985651109,False
15230,306401382,32.333398774364,21.4520053717327,False
15231,306404221,32.6566545956819,19.5003351894247,False
15232,306410072,179.442642540048,-60.4513468005216,True
15233,306415958,179.357879503877,-61.1234327381939,True
15234,306472057,118.434820266962,-69.701771123723,True
15235,306475295,91.6385615845104,-16.8959048861137,True
15236,306476702,91.5388487693005,-14.9352535999948,True
15237,306484795,33.2003569955605,21.2109937674768,False
15238,306485267,33.2646015765637,19.4027295491897,False
15239,306510653,119.185257115495,-67.0719419153285,True
15240,306512967,119.031254409091,-69.8614615107868,True
15241,306513433,33.4654443159223,19.6144374495264,False
15242,306547699,179.457896814319,-62.3275490584134,True
15243,306548914,179.416697834617,-62.4487478263215,True
15244,306554613,13.4483310836776,52.6892936553287,False
15245,306604742,97.6173546621615,14.0583392240893,False
15246,306648160,265.760333903573,-65.00824312803,True
15247,306663205,107.708641672707,-12.8330386859191,False
15248,306690965,97.7916360797901,16.9386323793522,False
15249,306725314,265.878583564118,-63.8490709204335,True
15250,306794731,179.698578766533,-64.3395587303039,True
15251,306806661,266.433286959392,-64.7238735449507,True
15252,306816900,97.9059752584211,15.9035096125079,False
15253,306819000,97.8959695145867,16.82828329723,False
15254,306821722,98.0772744690909,17.7843516113631,False
15255,306829961,121.982475641274,-68.6170635308007,True
15256,306844182,166.988949982975,-58.2906568455055,True
15257,306895522,122.236886539952,-71.7218308502001,True
15258,306902029,98.0393891203356,17.3805669829433,False
15259,306903715,98.0045321770496,16.5853938116181,False
15260,306916925,167.147440967859,-58.9750386047252,True
15261,306955329,14.1135876036514,48.6375746418796,False
15262,306990399,266.94951603685,-62.5274540995433,True
15263,306996173,178.607563262463,-37.748935490455,True
15264,306996324,178.576633271141,-37.5527322695786,True
15265,307002166,285.420121457884,-5.73909228394667,False
15266,307018196,98.2949339980794,15.8270794123333,False
15267,307039940,14.3341593837899,52.2399362037032,False
15268,307079330,166.251370358745,-46.0346200759877,True
15269,307099276,179.524566159856,-60.7739450386999,True
15270,307111282,14.6395381742505,50.9362061508908,False
15271,307125717,98.4006864665948,14.1551660251166,False
15272,307160124,124.000907802996,-68.472388387511,True
15273,307201632,14.9769195232422,49.0341800657544,False
15274,307210830,124.531756290083,-68.3129998725044,True
15275,307221757,208.641864543728,-45.1544593953492,True
15276,307225534,208.488501217579,-47.1281592050665,True
15277,307232923,267.73097342671,-61.6143826655781,True
15278,307250231,98.5996496412245,16.0750894440658,False
