TICID,RA,Dec,Tmag,Keywords
124573902,158.9027,-5.3558,17.01,G07092;20SECONDTARGET
318184221,162.1359,-2.0206,15.88,G07092;20SECONDTARGET
36736020,155.0176,-8.1082,16.69,G07092;20SECONDTARGET
36842204,156.0894,-9.2009,17.2,G07092;20SECONDTARGET
55172537,163.1533,-7.5508,17.44,G07092;20SECONDTARGET
62846288,159.9229,-3.4263,16.71,G07092;20SECONDTARGET
62855807,159.9889,-3.9165,16.83,G07092;20SECONDTARGET
62858438,160.3246,-2.3081,17.17,G07092;20SECONDTARGET
841583562,157.4531,-10.5278,18.85,G07092;20SECONDTARGET
841590966,158.4625,-9.8587,18.76,G07092;20SECONDTARGET
841592811,158.8539,-9.2835,18.56,G07092;20SECONDTARGET
841595529,159.4056,-8.3067,17.73,G07092;20SECONDTARGET
841596335,159.8242,-7.7674,18.75,G07092;20SECONDTARGET
841647317,156.2661,-8.5468,18.28,G07092;20SECONDTARGET
841650531,154.3096,-9.3809,18.85,G07092;20SECONDTARGET
841655431,153.3035,-8.4857,18.81,G07092;20SECONDTARGET
841662735,154.923,-7.5141,17.97,G07092;20SECONDTARGET
841728479,158.7313,-8.3211,17.16,G07009;G07092
841731370,157.3973,-7.9933,18.94,G07092;20SECONDTARGET
841731557,158.0633,-7.7775,18.97,G07092;20SECONDTARGET
841748878,156.7039,-6.2781,18.44,G07092;20SECONDTARGET
841755275,158.8345,-5.0643,18.71,G07092;20SECONDTARGET
841760387,159.8072,-3.7878,18.29,G07092;20SECONDTARGET
841763715,155.2026,-6.2701,18.89,G07092;20SECONDTARGET
841764697,155.4415,-5.8049,18.64,G07092;20SECONDTARGET
841773542,155.234,-4.609,17.88,G07092;20SECONDTARGET
841791169,158.587,-3.4253,18.99,G07092;20SECONDTARGET
841792604,157.3119,-3.4974,18.8,G07092;20SECONDTARGET
841796406,159.0049,-2.7613,18.25,G07092;20SECONDTARGET
841799311,158.19,-2.0988,18.34,G07092;20SECONDTARGET
841799344,157.8997,-2.0673,18.92,G07092;20SECONDTARGET
841799541,158.9661,-2.1581,17.71,G07092;20SECONDTARGET
902629812,162.6327,-12.7458,18.13,G07092;20SECONDTARGET
902636788,163.7114,-11.6072,17.61,G07092;20SECONDTARGET
902638121,164.273,-11.3718,18.82,G07092;20SECONDTARGET
902653157,163.1364,-10.6942,17.94,G07092;20SECONDTARGET
902653170,163.19,-10.6884,18.01,G07092;20SECONDTARGET
902653829,163.6492,-10.1707,18.08,G07092;20SECONDTARGET
902674148,164.8336,-9.65,18.83,G07092;20SECONDTARGET
902688958,161.5952,-10.8457,18.5,G07092;20SECONDTARGET
902690718,160.1213,-10.4926,18.69,G07092;20SECONDTARGET
902690853,160.2878,-10.2845,18.81,G07092;20SECONDTARGET
902690926,160.5862,-10.4105,18.64,G07092;20SECONDTARGET
902694171,162.8383,-9.8106,17.61,G07092;20SECONDTARGET
902695316,162.3332,-9.2447,18.91,G07092;20SECONDTARGET
902697750,161.8058,-9.1149,18.2,G07092;20SECONDTARGET
902704514,162.968,-9.1926,18.98,G07092;20SECONDTARGET
902713074,164.6084,-7.3468,18.42,G07092;20SECONDTARGET
902713237,165.1387,-7.5863,18.43,G07092;20SECONDTARGET
902736962,161.5409,-5.7861,18.71,G07092;20SECONDTARGET
902737206,162.0949,-5.5429,18.41,G07092;20SECONDTARGET
902740791,161.2793,-4.8625,18.73,G07092;20SECONDTARGET
902805765,165.377,-6.5674,17.13,G07092;20SECONDTARGET
902810666,166.1537,-5.2099,17.36,G07092;20SECONDTARGET
902810940,165.4028,-5.3899,17.45,G07092;20SECONDTARGET
902810946,165.4992,-5.41,18.67,G07092;20SECONDTARGET
902815615,166.2322,-4.8741,18.93,G07092;20SECONDTARGET
902820138,165.4236,-4.8954,17.56,G07092;20SECONDTARGET
902822193,163.6347,-4.7424,18.52,G07092;20SECONDTARGET
902822659,163.9811,-4.3769,18.85,G07092;20SECONDTARGET
902828372,165.5363,-3.371,18.92,G07092;20SECONDTARGET
902843385,167.2883,-3.2112,17.63,G07092;20SECONDTARGET
902843391,167.3288,-3.1612,18.48,G07092;20SECONDTARGET
902959625,163.2276,-4.0056,18.81,G07092;20SECONDTARGET
902963581,163.4862,-3.1344,18.82,G07092;20SECONDTARGET
902964365,162.7467,-2.7991,18.12,G07092;20SECONDTARGET
902965818,164.0545,-2.8453,18.36,G07092;20SECONDTARGET
902969654,165.0255,-1.9299,18.49,G07092;20SECONDTARGET
902975987,162.0052,-1.8894,17.5,G07092;20SECONDTARGET
178865175,150.9109,-3.6329,15.26,G07092;20SECONDTARGET
275185321,147.7588,1.0755,15.95,G07009;G07092
453049604,145.0188,2.1727,16.92,G07092;20SECONDTARGET
455272118,146.3937,1.9106,16.96,G07092;20SECONDTARGET
77521023,142.0354,-5.0978,17.61,G07092;20SECONDTARGET
77551542,142.3371,-4.1679,14.91,G07009;G07092;20SECONDTARGET
841695707,148.8094,-7.5828,18.53,G07092;20SECONDTARGET
841695809,149.1961,-7.639,18.97,G07092;20SECONDTARGET
841702132,151.9474,-8.1223,18.25,G07092;20SECONDTARGET
841712363,150.1913,-7.9462,18.74,G07092;20SECONDTARGET
841714629,150.8056,-7.1653,17.89,G07092;20SECONDTARGET
841715516,149.6358,-7.4279,18.61,G07092;20SECONDTARGET
841715517,149.6355,-7.4262,18.95,G07092;20SECONDTARGET
841720749,152.5343,-6.3767,18.55,G07092;20SECONDTARGET
841848704,146.6287,-6.4299,18.99,G07092;20SECONDTARGET
841850780,146.5292,-6.1937,17.47,G07092;20SECONDTARGET
841857114,148.8817,-6.4485,18.35,G07092;20SECONDTARGET
841857573,149.1588,-6.2332,18.8,G07092;20SECONDTARGET
841858006,150.0212,-6.2461,18.07,G07092;20SECONDTARGET
841860639,148.7865,-5.7751,18.05,G07092;20SECONDTARGET
841860940,147.7681,-6.0733,18.81,G07092;20SECONDTARGET
841865963,151.0995,-5.1069,17.54,G07009;G07092;20SECONDTARGET
841869780,150.6962,-4.5789,18.95,G07092;20SECONDTARGET
841871315,150.3201,-3.9536,17.67,G07092;20SECONDTARGET
841872261,148.1444,-5.3406,18.28,G07092;20SECONDTARGET
841880307,149.3256,-4.2382,18.27,G07092;20SECONDTARGET
841886103,149.5411,-2.9294,18.2,G07092;20SECONDTARGET
841918183,143.5311,-3.5077,18.96,G07092;20SECONDTARGET
841922080,143.3257,-3.0184,18.16,G07092;20SECONDTARGET
841923870,146.6284,-4.1053,18.87,G07092;20SECONDTARGET
841931778,148.0098,-3.0941,18.34,G07092;20SECONDTARGET
841934165,148.0162,-2.5119,17.87,G07092;20SECONDTARGET
841934167,148.0035,-2.5158,18.56,G07092;20SECONDTARGET
841936788,146.7502,-2.2126,18.88,G07092;20SECONDTARGET
841937341,147.5155,-1.9855,18.48,G07092;20SECONDTARGET
841941825,145.1951,-2.5508,18.8,G07092;20SECONDTARGET
841945457,145.0996,-1.7308,18.21,G07092;20SECONDTARGET
841952979,146.473,-0.5847,18.92,G07092;20SECONDTARGET
841961353,153.5018,-3.2691,18.64,G07092;20SECONDTARGET
841961927,153.7548,-2.8509,18.9,G07092;20SECONDTARGET
841968642,150.3793,-3.4854,17.62,G07092;20SECONDTARGET
841969541,150.2854,-3.0,18.99,G07092;20SECONDTARGET
841970579,151.0904,-2.6325,18.82,G07092;20SECONDTARGET
841971339,151.1159,-2.3627,18.24,G07092;20SECONDTARGET
841973409,149.3992,-2.1804,18.94,G07092;20SECONDTARGET
841973648,149.8615,-2.0339,18.63,G07092;20SECONDTARGET
841981123,152.1773,-0.6612,18.62,G07092;20SECONDTARGET
841982903,154.8398,-1.7874,18.49,G07092;20SECONDTARGET
841987652,154.7211,-0.5938,18.84,G07092;20SECONDTARGET
842000035,152.7726,0.4959,16.67,G07092;20SECONDTARGET
842001965,154.836,0.882,18.73,G07092;20SECONDTARGET
842002614,155.7229,1.0028,18.82,G07092;20SECONDTARGET
842007255,149.247,-1.9294,18.77,G07092;20SECONDTARGET
842009532,149.4967,-1.1193,17.5,G07092;20SECONDTARGET
842024933,146.5613,-0.0089,18.71,G07092;20SECONDTARGET
842030351,149.6381,1.5137,16.86,G07084;G07092;20SECONDTARGET
842045779,153.1083,2.8949,18.48,G07092;20SECONDTARGET
842052403,149.8925,2.9602,17.85,G07092;20SECONDTARGET
842054056,151.4481,3.1412,17.41,G07092;20SECONDTARGET
842108082,143.9045,0.4065,18.51,G07092;20SECONDTARGET
842142728,145.5121,1.286,18.42,G07092;20SECONDTARGET
842143296,146.589,1.4837,18.95,G07092;20SECONDTARGET
842148612,147.1064,2.4597,18.61,G07092;20SECONDTARGET
842149392,146.8188,2.6973,18.3,G07092;20SECONDTARGET
842149825,147.4438,2.741,18.78,G07092;20SECONDTARGET
842152432,144.7406,1.8888,18.83,G07092;20SECONDTARGET
842162726,145.7123,3.7967,18.43,G07092;20SECONDTARGET
842164874,149.3094,2.6963,18.91,G07092;20SECONDTARGET
842165500,149.3316,3.1442,18.82,G07092;20SECONDTARGET
842166891,149.9408,3.4486,18.8,G07092;20SECONDTARGET
842167576,149.901,3.8303,18.03,G07092;20SECONDTARGET
842177816,147.3857,3.9903,18.52,G07092;20SECONDTARGET
842216950,146.4088,5.263,18.99,G07092;20SECONDTARGET
842217468,145.8968,5.3798,18.63,G07092;20SECONDTARGET
17754631,135.7704,-34.5872,17.12,G07092;20SECONDTARGET
181208184,130.6929,-37.5967,16.64,G07092;20SECONDTARGET
185617406,130.3763,-32.9331,11.73,G07092;20SECONDTARGET
185693907,130.5001,-34.127,15.95,G07092;20SECONDTARGET
186925997,134.058,-32.3562,17.02,G07092;20SECONDTARGET
187096198,134.5492,-34.1112,17.15,G07092;20SECONDTARGET
191233258,134.7941,-36.7919,15.43,G07092;20SECONDTARGET
191532802,135.5544,-39.7649,15.88,G07092;20SECONDTARGET
192083079,136.984,-36.8976,15.57,G07092;20SECONDTARGET
196518001,129.8359,-28.0255,15.51,G07092;20SECONDTARGET
2084703,133.3561,-29.7222,17.02,G07092;20SECONDTARGET
285222557,129.1557,-28.2777,15.91,G07009;G07092;20SECONDTARGET
461837710,140.6013,-31.6931,15.75,G07092;20SECONDTARGET
816074787,134.9879,-42.0008,18.54,G07092;20SECONDTARGET
820206287,132.9023,-40.0353,18.99,G07092;20SECONDTARGET
820860326,129.7999,-39.1216,17.37,G07092;20SECONDTARGET
820988010,129.1849,-38.7903,17.71,G07092;20SECONDTARGET
820995847,128.2102,-38.7964,18.88,G07092;20SECONDTARGET
821057722,127.3964,-37.9198,18.48,G07092;20SECONDTARGET
822629699,127.4061,-37.3346,18.46,G07092;20SECONDTARGET
822965436,128.2553,-35.1815,18.45,G07092;20SECONDTARGET
822972868,128.1127,-34.9147,17.83,G07092;20SECONDTARGET
826337653,133.7886,-37.5765,18.8,G07092;20SECONDTARGET
826405252,135.0943,-37.0785,18.67,G07092;20SECONDTARGET
826610843,137.6293,-35.9968,18.72,G07092;20SECONDTARGET
827360543,131.1772,-34.7798,16.67,G07092;20SECONDTARGET
827431334,132.7882,-34.4702,18.83,G07092;20SECONDTARGET
827681461,135.6998,-33.3923,18.42,G07092;20SECONDTARGET
827728230,133.7882,-33.9708,18.86,G07092;20SECONDTARGET
827880266,135.7629,-31.0947,18.4,G07092;20SECONDTARGET
827886604,134.1367,-31.8523,18.28,G07092;20SECONDTARGET
827917200,134.7286,-30.957,18.57,G07092;20SECONDTARGET
827920597,134.4326,-30.7219,18.19,G07092;20SECONDTARGET
827967425,139.8178,-32.2075,17.36,G07009;G07092
828040405,138.0299,-31.3418,18.75,G07092;20SECONDTARGET
828076002,137.7274,-30.4608,18.09,G07092;20SECONDTARGET
828486092,129.1618,-33.3032,17.67,G07092;20SECONDTARGET
